Rank,RO,ST,Locid,City,airport_name,S/L,Hub,CY 21 Enplanements,CY 20 Enplanements,% Change
1,SO,GA,ATL,Atlanta,Hartsfield - Jackson Atlanta International,P,L,"36,676,010","20,559,866",78.39%
2,SW,TX,DFW,Fort Worth,Dallas-Fort Worth International,P,L,"30,005,266","18,593,421",61.38%
3,NM,CO,DEN,Denver,Denver International,P,L,"28,645,527","16,243,216",76.35%
4,GL,IL,ORD,Chicago,Chicago O'Hare International,P,L,"26,350,976","14,606,034",80.41%
5,WP,CA,LAX,Los Angeles,Los Angeles International,P,L,"23,663,410","14,055,777",68.35%
6,SO,NC,CLT,Charlotte,Charlotte/Douglas International,P,L,"20,900,875","12,952,869",61.36%
7,SO,FL,MCO,Orlando,Orlando International,P,L,"19,618,838","10,467,728",87.42%
8,WP,NV,LAS,Las Vegas,Harry Reid International,P,L,"19,160,342","10,584,059",81.03%
9,WP,AZ,PHX,Phoenix,Phoenix Sky Harbor International,P,L,"18,940,287","10,531,436",79.85%
10,SO,FL,MIA,Miami,Miami International,P,L,"17,500,096","8,786,007",99.18%
11,NM,WA,SEA,Seattle,Seattle-Tacoma International,P,L,"17,430,195","9,462,411",84.20%
12,SW,TX,IAH,Houston,George Bush Intcntl/Houston,P,L,"16,242,821","8,682,558",87.07%
13,EA,NY,JFK,New York,John F Kennedy International,P,L,"15,273,342","8,269,819",84.69%
14,EA,NJ,EWR,Newark,Newark Liberty International,P,L,"14,514,049","7,985,474",81.76%
15,SO,FL,FLL,Fort Lauderdale,Fort Lauderdale/Hollywood International,P,L,"13,598,994","8,015,744",69.65%
16,GL,MN,MSP,Minneapolis,Minneapolis-St Paul International/Wold-Chamberlain,P,L,"12,211,409","7,069,720",72.73%
17,WP,CA,SFO,San Francisco ,San Francisco International,P,L,"11,725,347","7,745,057",51.39%
18,GL,MI,DTW,Detroit,Detroit Metro Wayne County,P,L,"11,517,696","6,822,324",68.82%
19,NE,MA,BOS,Boston,General Edward Lawrence Logan International,P,L,"10,909,817","6,035,452",80.76%
20,NM,UT,SLC,Salt Lake City,Salt Lake City International,P,L,"10,795,906","5,981,032",80.50%
21,EA,PA,PHL,Philadelphia,Philadelphia International,P,L,"9,820,222","5,753,239",70.69%
22,EA,MD,BWI,Glen Burnie,Baltimore/Washington International Thurgood Marshall,P,L,"9,253,561","5,451,355",69.75%
23,SO,FL,TPA,Tampa,Tampa International,P,L,"8,847,197","4,966,775",78.13%
24,WP,CA,SAN,San Diego,San Diego International,P,L,"7,836,360","4,637,856",68.97%
25,EA,NY,LGA,New York,Laguardia,P,L,"7,827,307","4,147,116",88.74%
26,GL,IL,MDW,Chicago,Chicago Midway International,P,L,"7,680,617","4,236,603",81.29%
27,SO,TN,BNA,Nashville,Nashville International,P,L,"7,594,049","4,013,995",89.19%
28,EA,VA,IAD,Dulles,Washington Dulles International,P,L,"7,227,875","3,862,658",87.12%
29,EA,VA,DCA,Arlington,Ronald Reagan Washington Ntl,P,L,"6,731,737","3,573,489",88.38%
30,SW,TX,AUS,Austin,Austin-Bergstrom International,P,L,"6,666,215","3,141,505",112.20%
31,SW,TX,DAL,Dallas,Dallas Love Field,P,M,"6,487,563","3,669,930",76.78%
32,WP,HI,HNL,Honolulu,Daniel K Inouye International,P,M,"5,830,928","3,126,391",86.51%
33,NM,OR,PDX,Portland,Portland International,P,M,"5,759,879","3,455,877",66.67%
34,SW,TX,HOU,Houston,William P Hobby,P,M,"5,560,780","3,127,178",77.82%
35,SO,FL,RSW,Fort Myers,Southwest Florida International,P,M,"5,080,805","2,947,139",72.40%
36,CE,MO,STL,St. Louis,St Louis Lambert International,P,M,"5,070,471","3,041,765",66.70%
37,WP,CA,SMF,Sacramento,Sacramento International,P,M,"4,760,275","2,710,342",75.63%
38,SO,PR,SJU,San Juan,Luis Munoz Marin International,P,M,"4,738,725","2,362,851",100.55%
39,SO,NC,RDU,Raleigh,Raleigh-Durham International,P,M,"4,311,049","2,337,496",84.43%
40,SW,LA,MSY,New Orleans,Louis Armstrong New Orleans International,P,M,"4,017,147","2,632,606",52.59%
41,WP,CA,OAK,Oakland,Metro Oakland International,P,M,"4,011,953","2,271,294",76.64%
42,WP,CA,SNA,Santa Ana,John Wayne/Orange County,P,M,"3,807,205","1,824,836",108.63%
43,CE,MO,MCI,Kansas City,Kansas City International,P,M,"3,795,290","2,167,616",75.09%
44,SW,TX,SAT,San Antonio,San Antonio International,P,M,"3,677,643","1,919,958",91.55%
45,WP,CA,SJC,San Jose,Norman Y Mineta San Jose International,P,M,"3,619,690","2,283,186",58.54%
46,GL,OH,CLE,Cleveland,Cleveland-Hopkins International,P,M,"3,552,402","1,990,156",78.50%
47,GL,IN,IND,Indianapolis,Indianapolis International,P,M,"3,487,100","1,989,126",75.31%
48,EA,PA,PIT,Pittsburgh,Pittsburgh International,P,M,"3,069,259","1,742,406",76.15%
