zipcode,country,state,state_full,county,latitude-zip,longitude-zip,nearest-airport,latitude-air,longitude-air,distance
88901,US,NV,Nevada,Clark,36.3225,-114.8197,KLAS,36.08010101,-115.1520004,40.19364976246755
88905,US,NV,Nevada,Clark,35.9279,-114.9721,KLAS,36.08010101,-115.1520004,23.41585995968757
89001,US,NV,Nevada,Lincoln,37.3259,-115.308,KLAS,36.08010101,-115.1520004,139.22281697400896
89002,US,NV,Nevada,Clark,36.0008,-114.9588,KLAS,36.08010101,-115.1520004,19.48102311619924
89003,US,NV,Nevada,Nye,36.8199,-116.6094,KLAS,36.08010101,-115.1520004,154.1366108924838
89004,US,NV,Nevada,Clark,36.0464,-115.4039,KLAS,36.08010101,-115.1520004,22.95034283527587
89005,US,NV,Nevada,Clark,35.9727,-114.8344,KLAS,36.08010101,-115.1520004,30.957542190315756
89006,US,NV,Nevada,Clark,35.9279,-114.9721,KLAS,36.08010101,-115.1520004,23.41585995968757
89007,US,NV,Nevada,Clark,36.7684,-114.1281,KLAS,36.08010101,-115.1520004,119.37259536430815
89008,US,NV,Nevada,Lincoln,37.6128,-114.5097,KLAS,36.08010101,-115.1520004,179.75501079037838
89009,US,NV,Nevada,Clark,35.9279,-114.9721,KLAS,36.08010101,-115.1520004,23.41585995968757
89010,US,NV,Nevada,Esmeralda,37.7776,-118.084,KFAT,36.776199,-119.718002,182.480852608442
89011,US,NV,Nevada,Clark,36.1065,-114.9192,KLAS,36.08010101,-115.1520004,21.122549783589584
89012,US,NV,Nevada,Clark,36.0119,-115.0433,KLAS,36.08010101,-115.1520004,12.37009278119049
89013,US,NV,Nevada,Esmeralda,37.8344,-117.2694,KFAT,36.776199,-119.718002,246.45832733704756
89014,US,NV,Nevada,Clark,36.0564,-115.078,KLAS,36.08010101,-115.1520004,7.154301501780667
89015,US,NV,Nevada,Clark,36.0357,-114.9718,KLAS,36.08010101,-115.1520004,16.934349303856777
89016,US,NV,Nevada,Clark,35.9279,-114.9721,KLAS,36.08010101,-115.1520004,23.41585995968757
89017,US,NV,Nevada,Lincoln,37.5926,-115.2262,KLAS,36.08010101,-115.1520004,168.3117796957836
89018,US,NV,Nevada,Clark,36.5697,-115.6706,KLAS,36.08010101,-115.1520004,71.56998509437364
89019,US,NV,Nevada,Clark,35.7368,-115.5405,KLAS,36.08010101,-115.1520004,51.78272278154895
89020,US,NV,Nevada,Nye,36.539,-116.5496,KLAS,36.08010101,-115.1520004,135.22583105520843
89021,US,NV,Nevada,Clark,36.5935,-114.4683,KLAS,36.08010101,-115.1520004,83.72182337184343
89022,US,NV,Nevada,Nye,38.5388,-117.0734,KRNO,39.49909973144531,-119.76799774169922,256.0971129756606
89023,US,NV,Nevada,Nye,36.6605,-115.9945,KLAS,36.08010101,-115.1520004,99.27232162179055
89024,US,NV,Nevada,Clark,36.8101,-114.0722,KLAS,36.08010101,-115.1520004,126.16407974775808
89025,US,NV,Nevada,Clark,36.6916,-114.6514,KLAS,36.08010101,-115.1520004,81.4337489227298
89026,US,NV,Nevada,Clark,35.7789,-115.3239,KLAS,36.08010101,-115.1520004,36.895420872137
89027,US,NV,Nevada,Clark,36.8113,-114.1235,KLAS,36.08010101,-115.1520004,122.77467066886982
89028,US,NV,Nevada,Clark,35.1604,-114.7464,KLAS,36.08010101,-115.1520004,108.63880305386904
89029,US,NV,Nevada,Clark,35.1321,-114.6368,KLAS,36.08010101,-115.1520004,115.24398252108251
89030,US,NV,Nevada,Clark,36.2115,-115.1241,KLAS,36.08010101,-115.1520004,14.824122571788424
89031,US,NV,Nevada,Clark,36.2589,-115.1718,KLAS,36.08010101,-115.1520004,19.960823439645715
89032,US,NV,Nevada,Clark,36.218,-115.1709,KLAS,36.08010101,-115.1520004,15.427282764390132
89033,US,NV,Nevada,Clark,36.2845,-115.1345,KLAS,36.08010101,-115.1520004,22.782337535318547
89034,US,NV,Nevada,Clark,36.809,-114.0591,KLAS,36.08010101,-115.1520004,126.98575962204625
89036,US,NV,Nevada,Clark,36.1989,-115.1175,KLAS,36.08010101,-115.1520004,13.568281679143228
89037,US,NV,Nevada,Clark,36.1579,-114.934,KLAS,36.08010101,-115.1520004,21.407173802992023
89039,US,NV,Nevada,Clark,35.2522,-114.8714,KLAS,36.08010101,-115.1520004,95.4844631833326
89040,US,NV,Nevada,Clark,36.5703,-114.4732,KLAS,36.08010101,-115.1520004,81.6639589864835
89041,US,NV,Nevada,Nye,36.2083,-115.9839,KLAS,36.08010101,-115.1520004,76.04717147637425
89042,US,NV,Nevada,Lincoln,37.7905,-114.3894,KLAS,36.08010101,-115.1520004,201.90221168483023
89043,US,NV,Nevada,Lincoln,37.8981,-114.3968,KLAS,36.08010101,-115.1520004,212.9870778806237
89044,US,NV,Nevada,Lincoln,35.9025,-115.1789,KLAS,36.08010101,-115.1520004,19.89606850252196
89045,US,NV,Nevada,Nye,38.711,-117.0676,KRNO,39.49909973144531,-119.76799774169922,248.92826299957477
89046,US,NV,Nevada,Clark,35.5132,-114.8866,KLAS,36.08010101,-115.1520004,67.42806593710318
89047,US,NV,Nevada,Esmeralda,37.7225,-117.7965,KFAT,36.776199,-119.718002,199.9880223777544
89048,US,NV,Nevada,Nye,36.1661,-116.0038,KLAS,36.08010101,-115.1520004,77.10194102098905
89049,US,NV,Nevada,Nye,38.2626,-116.6248,KLAS,36.08010101,-115.1520004,275.5323314027016
89052,US,NV,Nevada,Clark,35.9878,-115.1167,KLAS,36.08010101,-115.1520004,10.743046249829556
89053,US,NV,Nevada,Clark,35.9279,-114.9721,KLAS,36.08010101,-115.1520004,23.41585995968757
89054,US,NV,Nevada,Clark,35.935,-115.2058,KLAS,36.08010101,-115.1520004,16.844598294330805
89060,US,NV,Nevada,Nye,36.2645,-116.0393,KLAS,36.08010101,-115.1520004,82.24210813953597
89061,US,NV,Nevada,Nye,36.1184,-115.9407,KLAS,36.08010101,-115.1520004,70.98855653913147
