zipcode,country,state,state_full,county,latitude-zip,longitude-zip,nearest-airport,latitude-air,longitude-air,distance
35004,US,AL,Alabama,St. Clair,33.6035,-86.4668,KATL,33.6367,-84.428101,188.80641726214503
35005,US,AL,Alabama,Jefferson,33.5884,-86.9597,KATL,33.6367,-84.428101,234.48965782000823
35006,US,AL,Alabama,Jefferson,33.4343,-87.1675,KATL,33.6367,-84.428101,254.8913105419093
35007,US,AL,Alabama,Shelby,33.1934,-86.7944,KATL,33.6367,-84.428101,225.08525012050305
35010,US,AL,Alabama,Tallapoosa,32.9164,-85.9368,KATL,33.6367,-84.428101,161.50794697479762
35011,US,AL,Alabama,Tallapoosa,32.9902,-85.958,KATL,33.6367,-84.428101,159.30258358523113
35013,US,AL,Alabama,Blount,33.9222,-86.4493,KATL,33.6367,-84.428101,189.48105760205524
35014,US,AL,Alabama,Talladega,33.404,-86.2339,KATL,33.6367,-84.428101,169.38688976042724
35015,US,AL,Alabama,Jefferson,33.5793,-86.6375,KATL,33.6367,-84.428101,204.7036981157504
35016,US,AL,Alabama,Marshall,34.3283,-86.4896,KBNA,36.1245002746582,-86.6781997680664,200.46154164673766
35019,US,AL,Alabama,Cullman,34.2683,-86.6213,KBNA,36.1245002746582,-86.6781997680664,206.46478626534264
35020,US,AL,Alabama,Jefferson,33.409,-86.9475,KATL,33.6367,-84.428101,234.90911666305007
35021,US,AL,Alabama,Jefferson,33.5446,-86.9292,KATL,33.6367,-84.428101,231.88900086374275
35022,US,AL,Alabama,Jefferson,33.3224,-86.9657,KATL,33.6367,-84.428101,237.9258095815109
35023,US,AL,Alabama,Jefferson,33.468,-87.0924,KATL,33.6367,-84.428101,247.59923069287296
35031,US,AL,Alabama,Blount,34.0929,-86.5686,KATL,33.6367,-84.428101,204.03653830537982
35032,US,AL,Alabama,Talladega,33.2649,-86.3364,KATL,33.6367,-84.428101,181.8051559929581
35033,US,AL,Alabama,Cullman,33.9737,-87.0043,KATL,33.6367,-84.428101,240.95422168004112
35034,US,AL,Alabama,Bibb,32.9357,-87.2114,KATL,33.6367,-84.428101,270.1903486341502
35035,US,AL,Alabama,Bibb,33.0427,-86.9517,KATL,33.6367,-84.428101,243.54940344968352
35036,US,AL,Alabama,Jefferson,33.6379,-86.9167,KATL,33.6367,-84.428101,230.3803593118489
35038,US,AL,Alabama,Walker,33.7079,-87.0875,KATL,33.6367,-84.428101,246.21833200674016
35040,US,AL,Alabama,Shelby,33.1098,-86.756,KATL,33.6367,-84.428101,223.96035289589298
35042,US,AL,Alabama,Bibb,32.9503,-87.1192,KATL,33.6367,-84.428101,261.4987420290639
35043,US,AL,Alabama,Shelby,33.2982,-86.6563,KATL,33.6367,-84.428101,210.07963301262475
35044,US,AL,Alabama,Talladega,33.2459,-86.3641,KATL,33.6367,-84.428101,184.81296679089863
35045,US,AL,Alabama,Chilton,32.8355,-86.6425,KATL,33.6367,-84.428101,224.38748020704742
35046,US,AL,Alabama,Chilton,32.9229,-86.545,KATL,33.6367,-84.428101,212.18289401786697
35048,US,AL,Alabama,Jefferson,33.7026,-86.5997,KATL,33.6367,-84.428101,201.09339243637157
35049,US,AL,Alabama,Blount,33.9778,-86.5598,KATL,33.6367,-84.428101,200.5696592091661
35051,US,AL,Alabama,Shelby,33.177,-86.6161,KATL,33.6367,-84.428101,209.42673709000232
35052,US,AL,Alabama,St. Clair,33.5895,-86.3923,KATL,33.6367,-84.428101,181.9627903390796
35053,US,AL,Alabama,Cullman,34.0821,-87.0484,KBNA,36.1245002746582,-86.6781997680664,229.58731465181168
35054,US,AL,Alabama,St. Clair,33.5296,-86.3007,KATL,33.6367,-84.428101,173.8735571281684
35055,US,AL,Alabama,Cullman,34.1761,-86.8298,KBNA,36.1245002746582,-86.6781997680664,217.0901133737237
35056,US,AL,Alabama,Cullman,34.1748,-86.8436,KBNA,36.1245002746582,-86.6781997680664,217.3175775574984
35057,US,AL,Alabama,Cullman,34.0878,-86.9447,KBNA,36.1245002746582,-86.6781997680664,227.76425055562046
35058,US,AL,Alabama,Cullman,34.2098,-86.75200000000002,KBNA,36.1245002746582,-86.6781997680664,213.01059223233298
35060,US,AL,Alabama,Jefferson,33.5589,-86.9294,KATL,33.6367,-84.428101,231.82355451592696
35061,US,AL,Alabama,Jefferson,33.4654,-86.9564,KATL,33.6367,-84.428101,235.06233097005367
35062,US,AL,Alabama,Walker,33.7357,-87.0546,KATL,33.6367,-84.428101,243.25661634382772
35063,US,AL,Alabama,Walker,33.8256,-87.0161,KATL,33.6367,-84.428101,240.24003634714973
35064,US,AL,Alabama,Jefferson,33.4735,-86.9183,KATL,33.6367,-84.428101,231.46056435751555
35068,US,AL,Alabama,Jefferson,33.6017,-86.8265,KATL,33.6367,-84.428101,222.1112511620892
35070,US,AL,Alabama,Cullman,34.0058,-86.7499,KATL,33.6367,-84.428101,218.36999413706758
35071,US,AL,Alabama,Jefferson,33.7189,-86.8225,KATL,33.6367,-84.428101,221.74432008471248
35072,US,AL,Alabama,Coosa,33.0746,-86.0781,KATL,33.6367,-84.428101,165.5019517815194
35073,US,AL,Alabama,Jefferson,33.6539,-86.9803,KATL,33.6367,-84.428101,236.253537023344
35074,US,AL,Alabama,Bibb,33.2027,-87.118,KATL,33.6367,-84.428101,254.26235103276542
35077,US,AL,Alabama,Cullman,34.0516,-86.7848,KATL,33.6367,-84.428101,222.47963425311931
35078,US,AL,Alabama,Shelby,33.3234,-86.4424,KATL,33.6367,-84.428101,190.03369017138004
35079,US,AL,Alabama,Blount,33.9534,-86.7455,KATL,33.6367,-84.428101,217.01411926616558
35080,US,AL,Alabama,Shelby,33.2663,-86.902,KATL,33.6367,-84.428101,233.17784632832542
35082,US,AL,Alabama,Clay,33.1162,-86.1386,KATL,33.6367,-84.428101,169.04370465668828
35083,US,AL,Alabama,Cullman,34.1901,-86.6174,KATL,33.6367,-84.428101,211.1838532574337
35085,US,AL,Alabama,Chilton,32.9805,-86.7181,KATL,33.6367,-84.428101,224.9609808762868
35087,US,AL,Alabama,Cullman,34.2837,-86.5519,KBNA,36.1245002746582,-86.6781997680664,205.00899811545648
35089,US,AL,Alabama,Coosa,32.9791,-86.0484,KATL,33.6367,-84.428101,167.38573611160248
35091,US,AL,Alabama,Jefferson,33.7684,-86.8084,KATL,33.6367,-84.428101,220.67419039536017
35094,US,AL,Alabama,Jefferson,33.5283,-86.5748,KATL,33.6367,-84.428101,199.2216788968756
35096,US,AL,Alabama,Talladega,33.6059,-86.1112,KATL,33.6367,-84.428101,155.88032622886317
35097,US,AL,Alabama,Blount,33.905,-86.6261,KATL,33.6367,-84.428101,205.34151917119902
35098,US,AL,Alabama,Cullman,34.1377,-87.0266,KBNA,36.1245002746582,-86.6781997680664,223.1818979218354
35111,US,AL,Alabama,Jefferson,33.2845,-87.1024,KATL,33.6367,-84.428101,251.14863666464896
35112,US,AL,Alabama,St. Clair,33.6862,-86.475,KATL,33.6367,-84.428101,189.5184990407597
35114,US,AL,Alabama,Shelby,33.2317,-86.8727,KATL,33.6367,-84.428101,231.26558731569597
35115,US,AL,Alabama,Shelby,33.1248,-86.8622,KATL,33.6367,-84.428101,233.06041625536236
35116,US,AL,Alabama,Jefferson,33.7392,-86.7726,KATL,33.6367,-84.428101,217.2123600559412
35117,US,AL,Alabama,Jefferson,33.6768,-86.8717,KATL,33.6367,-84.428101,226.20750115272043
35118,US,AL,Alabama,Jefferson,33.5363,-87.051,KATL,33.6367,-84.428101,243.21184735180748
35119,US,AL,Alabama,Jefferson,33.649,-86.7686,KATL,33.6367,-84.428101,216.66101940331367
35120,US,AL,Alabama,St. Clair,33.6756,-86.40899999999998,KATL,33.6367,-84.428101,183.3928229142857
35121,US,AL,Alabama,Blount,33.9259,-86.4741,KATL,33.6367,-84.428101,191.80553734651488
35123,US,AL,Alabama,Jefferson,33.7387,-86.6461,KATL,33.6367,-84.428101,205.52359879640656
